QueryAcc	Query_Length	HitDescription	HitName	HItLength	HitBits	HSP_rank	%ID	eValue	Query_Start	Query_End	Hit_start	Hit_end	HSP_length
g27.t1	1178	Uncharacterized protein C20orf194 homolog OS=Mus musculus OX=10090 PE=1 SV=2	sp|Q7TT23|CT194_MOUSE	1179	85.5001	1	25.6965944272446	1.43274e-16	40	948	31	346	323
g28.t1	3678	Uncharacterized protein C20orf194 homolog OS=Mus musculus OX=10090 PE=1 SV=2	sp|Q7TT23|CT194_MOUSE	1179	92.4337	1	25.6965944272446	1.92288e-17	40	948	31	346	323
g30.t1	1011	Ankyrin repeat, PH and SEC7 domain containing protein secG OS=Dictyostelium discoideum OX=44689 GN=secG PE=2 SV=1	sp|Q54KA7|SECG_DICDI	986	91.6633	1	33.7837837837838	4.94715e-19	40	705	244	453	222
g32.t1	2835	Chaperone protein ClpB1 OS=Arabidopsis thaliana OX=3702 GN=CLPB1 PE=1 SV=2	sp|P42730|CLPB1_ARATH	911	903.279	1	60.1851851851852	0	4	2592	1	849	864
g34.t1	795	Catalase-peroxidase OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) OX=502800 GN=katG PE=3 SV=1	sp|B1JJB5|KATG_YERPY	737	82.8037	1	46.0176991150442	1.19064e-16	7	339	407	502	113
g35.t1	3198	Chromosome-associated kinesin KIF4 OS=Gallus gallus OX=9031 GN=KIF4 PE=2 SV=1	sp|Q90640|KIF4_CHICK	1225	184.111	1	36.2537764350453	7.3292e-46	169	1110	39	348	331
g38.t1	1980	Probable proton ATPase 1B OS=Leishmania donovani OX=5661 GN=H1B PE=2 SV=1	sp|P12522|ATXB_LEIDO	974	279.641	1	62.5550660792952	3.98345e-81	1246	1920	149	375	227
g39.t1	369	Probable proton ATPase 1A OS=Leishmania donovani OX=5661 GN=H1A PE=2 SV=2	sp|P11718|ATXA_LEIDO	974	95.5153	1	45.1612903225806	9.21544e-23	1	360	361	483	124
g40.t1	1716	Probable proton ATPase 1A OS=Leishmania donovani OX=5661 GN=H1A PE=2 SV=2	sp|P11718|ATXA_LEIDO	974	332.413	1	48.4304932735426	1.01259e-101	4	1320	516	902	446
g42.t1	954	Chaperone protein dnaJ C76, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DJC76 PE=2 SV=1	sp|Q9FMX6|DJC76_ARATH	465	169.859	1	42.6008968609865	7.3789e-48	7	660	50	260	223
g43.t1	711	PHD finger protein ALFIN-LIKE 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0233300 PE=2 SV=1	sp|Q8H383|ALFL2_ORYSJ	244	152.525	1	54.9668874172185	2.11489e-44	1	441	7	157	151
g44.t1	888	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Xenopus laevis OX=8355 GN=aasdhppt PE=2 SV=1	sp|Q6DJH2|ADPPT_XENLA	302	117.857	1	32.3529411764706	7.69659e-30	16	729	11	242	238
g45.t1	762	GTP-binding protein BRASSINAZOLE INSENSITIVE PALE GREEN 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BPG2 PE=1 SV=1	sp|Q8W4I6|BPG2_ARATH	660	94.7449	1	43.1372549019608	8.92765e-21	163	468	521	622	102
g47.t1	582	Ubiquitin-conjugating enzyme E2-23 kDa OS=Triticum aestivum OX=4565 GN=UBC4 PE=1 SV=1	sp|P16577|UBC4_WHEAT	184	236.498	1	73.1543624161074	5.58928e-79	1	447	1	148	149
g48.t1	2655	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISE2 PE=1 SV=2	sp|B9DFG3|ISE2_ARATH	1171	404.06	1	38.8362652232747	3.30044e-123	157	2187	142	821	739
g50.t1	1011	L-ribulose 3-epimerase OS=Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) OX=266835 GN=mll3595 PE=1 SV=1	sp|Q98FW0|LR3E_RHILO	297	174.866	1	34.6938775510204	3.35372e-51	109	990	4	277	294
g52.t1	1098	Internalin-A OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=inlA PE=1 SV=1	sp|P0DJM0|INLA_LISMO	800	58.5362	1	27.8481012658228	5.00702e-08	247	717	265	419	158
g54.t1	1134	Endoplasmic reticulum oxidoreductin-2 OS=Arabidopsis thaliana OX=3702 GN=AERO2 PE=1 SV=1	sp|Q7X9I4|ERO2_ARATH	472	320.087	1	46.2603878116344	7.16847e-105	43	1092	99	436	361
g57.t1	6618	Protein RST1 OS=Arabidopsis thaliana OX=3702 GN=RST1 PE=2 SV=2	sp|Q7XZF5|RST1_ARATH	1841	84.3445	1	31.0126582278481	1.19008e-14	2125	2589	561	715	158
g58.t1	2838	Putative cyclin-A3-1 OS=Arabidopsis thaliana OX=3702 GN=CYCA3-1 PE=3 SV=1	sp|Q9FMH5|CCA31_ARATH	355	264.618	1	50	4.90568e-79	2017	2823	73	345	276
g59.t1	1899	DNA excision repair protein ERCC-1 OS=Arabidopsis thaliana OX=3702 GN=ERCC1 PE=2 SV=1	sp|Q9MA98|ERCC1_ARATH	410	245.743	1	56.0606060606061	9.9544e-74	673	1266	126	323	198
g60.t1	5115	Transmembrane 9 superfamily member 1 OS=Arabidopsis thaliana OX=3702 GN=TMN1 PE=1 SV=1	sp|Q940G0|TMN1_ARATH	589	698.353	1	61.7094017094017	0	3364	5112	30	589	585
g61.t1	1158	Probable protein phosphatase 2C 34 OS=Arabidopsis thaliana OX=3702 GN=At3g05640 PE=2 SV=1	sp|Q9M9W9|P2C34_ARATH	358	156.377	1	38.9473684210526	6.07737e-43	352	1152	70	350	285
g62.t1	1614	Phosphatidylinositol:ceramide inositolphosphotransferase 3 OS=Arabidopsis thaliana OX=3702 GN=IPCS3 PE=2 SV=1	sp|Q56Y01|IPCS3_ARATH	289	58.9214	1	31.8181818181818	2.71331e-08	1054	1437	111	230	132
g63.t1	2592	Zinc finger CCCH domain-containing protein 50 OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0568300 PE=2 SV=1	sp|Q84SL2|C3H50_ORYSJ	657	136.732	1	46.7532467532467	6.09237e-32	13	471	233	378	154
g65.t1	3735	Putative transcription elongation factor SPT5 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=At4g08350 PE=1 SV=2	sp|Q9STN3|SPT51_ARATH	1041	335.495	1	37.8623188405797	3.8662e-96	370	2019	124	644	552
g66.t1	2184	Translation initiation factor IF-2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g17220 PE=2 SV=2	sp|Q9SHI1|IF2C_ARATH	1026	551.592	1	50.6472491909385	0	343	2169	411	1021	618
g67.t1	3906	Polyribonucleotide nucleotidyltransferase 2, mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=PNP2 PE=2 SV=1	sp|Q6KAI0|PNP2_ORYSJ	982	267.314	1	37.8440366972477	7.78751e-73	2395	3702	379	763	436
g68.t1	720	DNA replication complex GINS protein PSF2 OS=Arabidopsis thaliana OX=3702 GN=GINS2 PE=2 SV=2	sp|Q9C7A8|PSF2_ARATH	210	135.191	1	41.0404624277457	5.08196e-38	85	603	13	181	173
g69.t1	7881	Separase OS=Arabidopsis thaliana OX=3702 GN=ESP1 PE=2 SV=1	sp|Q5IBC5|ESP1_ARATH	2180	142.895	1	52.5179856115108	2.6221e-32	7177	7593	1935	2072	139
g70.t1	2220	Probable cytochrome P450 6a18 OS=Drosophila melanogaster OX=7227 GN=Cyp6a18 PE=2 SV=1	sp|Q9VB31|C6A18_DROME	507	115.931	1	26.8229166666667	7.47481e-26	370	1503	126	474	384
g71.t1	3441	Adenylate cyclase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=cr-1 PE=1 SV=2	sp|Q01631|CYAA_NEUCR	2300	78.1814	1	37.3737373737374	4.75118e-13	1540	1836	1884	1981	99
g73.t1	1899	Alpha-galactosidase A OS=Cellvibrio japonicus (strain Ueda107) OX=498211 GN=agaA PE=1 SV=1	sp|B3PGJ1|AGAL_CELJU	404	296.59	1	43.5967302452316	2.67747e-93	1	1101	35	350	367
g74.t1	2955	Adenylate cyclase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=cr-1 PE=1 SV=2	sp|Q01631|CYAA_NEUCR	2300	74.7146	1	37.3626373626374	4.50492e-12	1336	1608	1892	1981	91
g75.t1	558	Calmodulin-like protein 3 OS=Rattus norvegicus OX=10116 GN=Calml3 PE=2 SV=1	sp|Q5U206|CALL3_RAT	149	76.6406	1	34.0425531914894	9.04233e-17	52	471	12	146	141
g76.t1	1125	FACT complex subunit SSRP1 OS=Dictyostelium discoideum OX=44689 GN=ssrp1 PE=3 SV=1	sp|Q54G78|SSRP1_DICDI	527	64.6994	1	23.5042735042735	5.1166e-10	259	894	246	469	234
g77.t1	1230	Protein ARABIDILLO 1 OS=Arabidopsis thaliana OX=3702 GN=FBX5 PE=1 SV=1	sp|O22161|ADLO1_ARATH	930	69.707	1	35.8288770053476	1.97698e-11	142	687	560	744	187
g78.t1	804	Secretory carrier-associated membrane protein 4 OS=Oryza sativa subsp. japonica OX=39947 GN=SCAMP4 PE=2 SV=1	sp|Q75IC7|SCAM4_ORYSJ	313	144.436	1	35.4581673306773	4.00882e-40	1	741	57	301	251
g79.t1	3834	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	sp|P14381|YTX2_XENLA	1308	98.5969	1	30.5936073059361	2.63512e-19	1033	1677	526	732	219
g80.t1	1401	RuvB-like 2 OS=Xenopus laevis OX=8355 GN=ruvbl2 PE=2 SV=1	sp|Q9DE27|RUVB2_XENLA	462	691.804	1	79.4642857142857	0	25	1368	11	458	448
g81.t1	1119	Calmodulin OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=cmd-1 PE=1 SV=2	sp|P61859|CALM_NEUCR	149	46.595	1	31.1688311688312	4.8739e-05	580	810	72	148	77
g82.t1	993	Asparagine synthetase domain-containing protein 1 OS=Danio rerio OX=7955 GN=asnsd1 PE=2 SV=1	sp|Q8JFW1|ASND1_DANRE	612	47.7506	1	27.7777777777778	9.73599e-05	505	774	109	189	90
g83.t1	711	Uncharacterized membrane protein C776.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC776.05 PE=4 SV=2	sp|O94673|YG75_SCHPO	403	80.1073	1	26.5700483091787	3.39414e-16	19	600	192	386	207
g85.t1	495	Uncharacterized protein YPL067C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPL067C PE=1 SV=1	sp|Q02754|YP067_YEAST	198	66.2402	1	32.5301204819277	1.00648e-12	31	468	18	169	166
g87.t1	2679	Aurora kinase C OS=Homo sapiens OX=9606 GN=AURKC PE=1 SV=1	sp|Q9UQB9|AURKC_HUMAN	309	125.946	1	28.673835125448	1.95866e-30	133	966	40	296	279
g88.t1	1380	Transaldolase OS=Aliivibrio fischeri (strain MJ11) OX=388396 GN=tal PE=3 SV=1	sp|B5EUF3|TAL_ALIFM	316	277.715	1	60.1659751037344	2.90281e-89	640	1362	75	313	241
g89.t1	1482	S-adenosylmethionine decarboxylase proenzyme OS=Catharanthus roseus OX=4058 GN=SAMDC PE=1 SV=1	sp|Q42679|DCAM_CATRO	357	243.047	1	40.1129943502825	8.9109e-75	31	1083	10	346	354
g92.t1	1833	Wee1-like protein kinase OS=Arabidopsis thaliana OX=3702 GN=WEE1 PE=1 SV=1	sp|Q8L4H0|WEE1_ARATH	500	52.7582	1	28.4848484848485	6.78518e-06	1315	1719	333	491	165
g93.t1	978	Protein-L-isoaspartate O-methyltransferase OS=Triticum aestivum OX=4565 GN=PCM PE=1 SV=1	sp|Q43209|PIMT_WHEAT	230	126.716	1	54.2372881355932	1.19182e-33	22	375	16	129	118
g94.t1	540	60S ribosomal protein L11-2 OS=Arabidopsis thaliana OX=3702 GN=RPL11B PE=2 SV=2	sp|P42794|RL112_ARATH	182	277.33	1	80.5714285714286	3.01315e-95	4	528	3	177	175
g95.t1	789	40S ribosomal protein S4, Y isoform 1 OS=Monodelphis domestica OX=13616 GN=RPS4Y1 PE=2 SV=3	sp|O62739|RS4Y1_MONDO	263	343.969	1	67.4329501915709	5.31781e-119	1	783	1	261	261
g96.t1	867	Ubiquitin thioesterase otubain-like OS=Arabidopsis thaliana OX=3702 GN=At1g28120 PE=2 SV=2	sp|Q8LG98|OTUBL_ARATH	306	234.187	1	46.0714285714286	7.55481e-75	43	864	28	299	280
g97.t1	1503	Probable nucleolar protein 5-2 OS=Arabidopsis thaliana OX=3702 GN=NOP5-2 PE=1 SV=1	sp|Q9MAB3|NOP5B_ARATH	533	540.036	1	68.2808716707022	0	1	1239	2	414	413
g99.t1	1263	BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1	sp|Q9BRD0|BUD13_HUMAN	619	72.4034	1	31.9371727748691	2.27184e-12	700	1260	459	619	191
g101.t1	1284	Renalase OS=Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000) OX=223283 GN=PSPTO_1126 PE=1 SV=1	sp|Q888A4|RNLS_PSESM	328	61.2326	1	27.1062271062271	5.02898e-09	457	1260	47	249	273
g103.t1	849	Palmitoyltransferase ZDHHC2 OS=Homo sapiens OX=9606 GN=ZDHHC2 PE=1 SV=1	sp|Q9UIJ5|ZDHC2_HUMAN	367	112.464	1	32.994923857868	2.03613e-27	235	807	113	295	197
g106.t1	2976	DENN domain-containing protein 5B OS=Homo sapiens OX=9606 GN=DENND5B PE=1 SV=2	sp|Q6ZUT9|DEN5B_HUMAN	1274	53.9138	1	40.3508771929825	8.27662e-06	2359	2529	295	351	57
g108.t1	1059	Nucleoporin SEH1 OS=Xenopus tropicalis OX=8364 GN=seh1l PE=2 SV=1	sp|Q5U4Y8|SEH1_XENTR	360	87.4261	1	23.9766081871345	5.14966e-18	49	1020	15	321	342
g109.t1	1395	Ribosome maturation factor RimM OS=Cyanothece sp. (strain PCC 8801) OX=41431 GN=rimM PE=3 SV=1	sp|B7K5W1|RIMM_CYAP8	186	102.834	1	35.3846153846154	2.61401e-24	88	672	7	183	195
g110.t1	1029	30S ribosomal protein S1 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=rpsA PE=1 SV=1	sp|A0QYY6|RS1_MYCS2	479	99.3673	1	30.1255230125523	9.02467e-22	202	888	109	338	239
g111.t1	3381	Ubiquitin carboxyl-terminal hydrolase 2 OS=Gallus gallus OX=9031 GN=USP2 PE=2 SV=1	sp|O57429|UBP2_CHICK	357	63.1586	1	25.6756756756757	5.18091e-09	1741	2514	22	301	296
g112.t1	1062	Di-N-acetylchitobiase OS=Rattus norvegicus OX=10116 GN=Ctbs PE=1 SV=1	sp|Q01460|DIAC_RAT	367	263.462	1	42.1364985163205	1.82847e-84	7	1011	44	364	337
g113.t1	2877	Ubiquitin carboxyl-terminal hydrolase 18 OS=Arabidopsis thaliana OX=3702 GN=UBP18 PE=2 SV=2	sp|Q67XW5|UBP18_ARATH	631	52.7582	1	27.3170731707317	1.56753e-05	1780	2346	232	422	205
g115.t1	1386	Uncharacterized membrane protein YjcL OS=Bacillus subtilis (strain 168) OX=224308 GN=yjcL PE=4 SV=1	sp|O31634|YJCL_BACSU	396	68.5514	1	37.2549019607843	3.46813e-11	10	315	47	147	102
g116.t1	843	Putative DNA glycosylase At3g47830 OS=Arabidopsis thaliana OX=3702 GN=At3g47830 PE=3 SV=1	sp|F4JCQ3|DG783_ARATH	293	87.0409	1	46.4285714285714	1.2225e-18	1	243	202	285	84
g117.t1	1617	Lariat debranching enzyme OS=Oryza sativa subsp. japonica OX=39947 GN=DBR1 PE=2 SV=1	sp|Q6AU07|DBR1_ORYSJ	407	397.127	1	52.2666666666667	1.87016e-133	22	1137	1	354	375
g119.t1	726	Protease Do-like 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DEGP5 PE=1 SV=3	sp|Q9SEL7|DEGP5_ARATH	323	162.155	1	45.1219512195122	3.18148e-47	7	711	94	318	246
g120.t1	1320	Calpain-type cysteine protease DEK1 OS=Arabidopsis thaliana OX=3702 GN=DEK1 PE=1 SV=1	sp|Q8RVL2|DEK1_ARATH	2151	175.637	1	32.8173374613003	2.35978e-46	157	1116	1696	1994	323
g121.t1	1356	Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus OX=10090 GN=Acsf3 PE=1 SV=2	sp|Q3URE1|ACSF3_MOUSE	583	287.73	1	47.6543209876543	7.75899e-90	214	1323	194	576	405
g122.t1	1431	3-ketoacyl-CoA synthase 5 OS=Arabidopsis thaliana OX=3702 GN=KCS5 PE=2 SV=1	sp|Q9C6L5|KCS5_ARATH	492	315.464	1	40.8521303258145	2.38837e-101	22	1215	81	467	399
g123.t1	1413	Multidrug and toxin extrusion protein 2 OS=Mus musculus OX=10090 GN=Slc47a2 PE=1 SV=1	sp|Q3V050|S47A2_MOUSE	573	114.775	1	32.4074074074074	4.42092e-26	724	1371	268	482	216
g125.t1	867	Telomerase reverse transcriptase OS=Oryza sativa subsp. japonica OX=39947 GN=TERT PE=2 SV=2	sp|Q8LKW0|TERT_ORYSJ	1259	94.3597	1	28.0155642023346	3.08832e-20	88	855	676	871	257
g126.t1	5970	Telomerase reverse transcriptase OS=Oryza sativa subsp. japonica OX=39947 GN=TERT PE=2 SV=2	sp|Q8LKW0|TERT_ORYSJ	1259	142.51	1	38.6934673366834	2.10147e-32	5284	5880	1042	1229	199
g127.t1	1104	Elicitor-responsive protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=ERG3 PE=1 SV=1	sp|Q0JBH9|ERG3_ORYSJ	144	58.9214	1	28.7037037037037	2.32939e-09	52	372	16	122	108
g129.t1	651	SH3 domain-containing protein PJ696.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAPJ696.02 PE=1 SV=1	sp|Q9URW6|YIE2_SCHPO	430	52.7582	1	30	5.37755e-07	94	516	10	186	180
g131.t1	4446	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	sp|P14381|YTX2_XENLA	1308	98.5969	1	30.7692307692308	3.26595e-19	1720	2364	526	732	221
g132.t1	2421	Dynein regulatory complex subunit 2 OS=Chlamydomonas reinhardtii OX=3055 GN=DRC2 PE=1 SV=2	sp|A8JB22|DRC2_CHLRE	573	707.212	1	71.2062256809339	0	55	1551	17	530	514
g133.t1	456	40S ribosomal protein S19 OS=Oryza sativa subsp. japonica OX=39947 GN=RPS19A PE=2 SV=1	sp|P40978|RS19_ORYSJ	146	150.214	1	46.9798657718121	4.58032e-46	1	447	1	146	149
g134.t1	1227	PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2	sp|Q5JVF3|PCID2_HUMAN	399	184.111	1	32.0197044334975	1.03367e-52	1	1200	4	398	406
g136.t1	2187	Adenosine deaminase-like protein OS=Drosophila pseudoobscura pseudoobscura OX=46245 GN=GA11319 PE=3 SV=2	sp|Q295P6|ADAL_DROPS	340	80.8777	1	37.3831775700935	4.81674e-15	1846	2166	231	337	107
g137.t1	5517	DNA repair protein UVH3 OS=Arabidopsis thaliana OX=3702 GN=UVH3 PE=2 SV=1	sp|Q9ATY5|UVH3_ARATH	1479	291.967	1	46.4396284829721	1.51357e-78	3904	4833	899	1210	323
g140.t1	4218	Phospholipase A I OS=Arabidopsis thaliana OX=3702 GN=PLA1 PE=3 SV=1	sp|F4HX15|LPAI_ARATH	1309	355.91	1	45.2554744525547	7.63942e-101	22	1179	456	845	411
g141.t1	663	Glutathione S-transferase OS=Plasmodium falciparum OX=5833 GN=GST PE=1 SV=1	sp|Q8MU52|GST_PLAFA	211	63.1586	1	27.0833333333333	6.12231e-11	19	582	1	167	192
g142.t1	585	Transmembrane protein 18 OS=Gallus gallus OX=9031 GN=TMEM18 PE=2 SV=1	sp|Q5F410|TMM18_CHICK	142	73.559	1	33.0827067669173	1.29475e-15	76	471	15	137	133
g143.t1	531	PITH domain-containing protein 1 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0277951 PE=3 SV=1	sp|Q54Z24|PITH1_DICDI	202	121.709	1	37.9310344827586	7.25513e-34	7	528	31	201	174
g144.t1	2106	SUPPRESSOR OF ABI3-5 OS=Arabidopsis thaliana OX=3702 GN=SUA PE=1 SV=2	sp|F4JCU0|SUA_ARATH	1007	122.479	1	31.8181818181818	2.34312e-27	397	1146	270	509	264
g145.t1	270	Uncharacterized protein At5g64816 OS=Arabidopsis thaliana OX=3702 GN=At5g64816 PE=2 SV=1	sp|Q8L8Q8|Y5486_ARATH	130	75.0998	1	51.219512195122	1.03882e-17	1	234	1	82	82
g148.t1	2613	Probable DNA-directed RNA polymerase I subunit RPA2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpa2 PE=3 SV=2	sp|Q9P7X8|RPA2_SCHPO	1174	637.491	1	44.6808510638298	0	61	2415	29	800	799
g149.t1	2424	Probable apyrase 6 OS=Arabidopsis thaliana OX=3702 GN=APY6 PE=2 SV=2	sp|O80612|APY6_ARATH	555	150.599	1	36.0927152317881	5.46118e-37	976	1794	86	361	302
g150.t1	1065	Shewanella-like protein phosphatase 1 OS=Arabidopsis thaliana OX=3702 GN=SLP1 PE=1 SV=1	sp|Q8L774|SLP1_ARATH	389	239.965	1	41.0714285714286	5.19871e-75	91	984	38	370	336
g151.t1	1890	Granule-bound starch synthase 2, chloroplastic/amyloplastic OS=Pisum sativum OX=3888 PE=1 SV=1	sp|Q43093|SSG2_PEA	752	670.618	1	61	0	391	1887	254	752	500
g153.t1	2124	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2 OS=Arabidopsis thaliana OX=3702 GN=At3g62310 PE=2 SV=1	sp|Q9LZQ9|DEAH2_ARATH	726	1029.62	1	75.6598240469208	0	85	2115	39	720	682
g156.t1	1149	Transcriptional regulatory protein rxt3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rxt3 PE=1 SV=1	sp|O94707|RXT3_SCHPO	351	48.1358	1	30.0970873786408	7.94234e-05	217	516	218	316	103
g157.t1	2592	Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Arabidopsis thaliana OX=3702 GN=At5g11010 PE=2 SV=1	sp|Q8VYP6|NOL9_ARATH	368	88.1965	1	32.5966850828729	2.97641e-17	1186	1722	10	172	181
g158.t1	2094	ABC transporter G family member 22 OS=Dictyostelium discoideum OX=44689 GN=abcG22 PE=2 SV=1	sp|Q55DA0|ABCGM_DICDI	615	189.504	1	36.0501567398119	1.84329e-50	7	939	5	310	319
g159.t1	567	60S ribosomal protein L13a-2 OS=Arabidopsis thaliana OX=3702 GN=RPL13AB PE=2 SV=1	sp|Q9LRX8|R13A2_ARATH	206	254.218	1	70.9090909090909	1.16718e-85	7	501	10	174	165
g162.t1	3954	Structural maintenance of chromosomes protein 3 OS=Arabidopsis thaliana OX=3702 GN=SMC3 PE=2 SV=1	sp|Q56YN8|SMC3_ARATH	1204	523.087	1	38.3155397390273	8.3587e-163	1090	3618	365	1197	843
g163.t1	1764	Ammonium transporter Rh type B-A OS=Xenopus laevis OX=8355 GN=rhbg-a PE=2 SV=1	sp|Q69D48|RHBGA_XENLA	460	258.07	1	40.3381642512077	2.6584e-78	283	1476	45	436	414
g165.t1	834	RNA polymerase sigma factor SigA1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sigA1 PE=3 SV=2	sp|P38023|SIGA1_SYNE7	399	85.5001	1	42.9577464788732	1.05381e-17	364	789	95	236	142
g166.t1	330	RNA polymerase sigma factor RpoS OS=Escherichia coli (strain K12) OX=83333 GN=rpoS PE=1 SV=3	sp|P13445|RPOS_ECOLI	330	47.3654	1	40.7407407407407	3.40094e-06	1	162	263	316	54
g167.t1	2088	Folate synthesis bifunctional protein, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MitHPPK/DHPS PE=2 SV=1	sp|Q9SZV3|FOLM_ARATH	554	191.43	1	45.5479452054795	1.28435e-51	1216	2085	269	549	292
g168.t1	3777	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	sp|P14381|YTX2_XENLA	1308	98.2117	1	30.316742081448	3.13123e-19	1951	2595	526	732	221
g169.t1	1479	GATA zinc finger domain-containing protein 16 OS=Dictyostelium discoideum OX=44689 GN=gtaP PE=4 SV=1	sp|B0G188|GTAP_DICDI	695	58.9214	1	62.8571428571429	7.25414e-08	73	177	477	511	35
g170.t1	1107	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PUR7 PE=2 SV=2	sp|P38025|PUR7_ARATH	411	413.69	1	60.5590062111801	1.38367e-142	130	1080	79	400	322
