QueryAcc	Query_Length	HitDescription	HitName	HItLength	HitBits	HSP_rank	%ID	eValue	Query_Start	Query_End	Hit_start	Hit_end	HSP_length
g15.t1	270	hypothetical protein COCSUDRAFT_65897 [Coccomyxa subellipsoidea C-169] >gi|384249922|gb|EIE23402.1| hypothetical protein COCSUDRAFT_65897 [Coccomyxa subellipsoidea C-169]	gi|545366047|ref|XP_005647946.1|	100	70.8626	1	59.3220338983051	5.39636e-14	100	267	42	100	59
g16.t1	897	predicted protein, partial [Chlamydomonas reinhardtii]	gi|159487763|ref|XP_001701892.1|	259	236.884	1	52.5423728813559	7.9514e-74	1	708	33	250	236
g17.t1	1104	hypothetical protein CEUSTIGMA_g7530.t1 [Chlamydomonas eustigma]	gi|1238991300|dbj|GAX80092.1|	250	80.1073	1	60	1.73244e-13	43	207	1	65	65
g19.t1	5985	hypothetical protein CEUSTIGMA_g13013.t1 [Chlamydomonas eustigma]	gi|1238985607|dbj|GAX85598.1|	848	218.009	1	43.8524590163934	1.90449e-54	2536	3231	289	531	244
g22.t1	8085	hypothetical protein CEUSTIGMA_g2473.t1 [Chlamydomonas eustigma]	gi|1238996294|dbj|GAX75027.1|	2144	1034.63	1	47.7637130801688	0	3448	6930	599	1752	1185
g23.t1	2142	hypothetical protein CEUSTIGMA_g2980.t1 [Chlamydomonas eustigma]	gi|1238996007|dbj|GAX75537.1|	584	450.669	1	43.4494195688226	5.73176e-147	289	1968	12	565	603
g27.t1	1178	hypothetical protein CEUSTIGMA_g9681.t1 [Chlamydomonas eustigma]	gi|1238989081|dbj|GAX82253.1|	1316	343.199	1	54.8872180451128	1.08505e-103	13	1173	6	400	399
g28.t1	3678	hypothetical protein CEUSTIGMA_g9681.t1 [Chlamydomonas eustigma]	gi|1238989081|dbj|GAX82253.1|	1316	390.963	1	51.5151515151515	1.01386e-111	13	1347	6	496	495
g30.t1	1011	hypothetical protein CEUSTIGMA_g9680.t1 [Chlamydomonas eustigma]	gi|1238989080|dbj|GAX82252.1|	342	166.007	1	45.0892857142857	1.04619e-44	40	708	19	241	224
g32.t1	2835	hypothetical protein CEUSTIGMA_g9677.t1 [Chlamydomonas eustigma]	gi|1238989077|dbj|GAX82249.1|	954	1065.06	1	67.7801724137931	0	4	2721	3	905	928
g33.t1	618	hypothetical protein CEUSTIGMA_g9676.t1 [Chlamydomonas eustigma]	gi|1238989076|dbj|GAX82248.1|	396	228.794	1	60.2094240837696	2.56196e-70	16	573	3	178	191
g34.t1	795	hypothetical protein SARC_15057, partial [Sphaeroforma arctica JP610] >gi|906929943|gb|KNC72385.1| hypothetical protein SARC_15057, partial [Sphaeroforma arctica JP610]	gi|929742606|ref|XP_014146287.1|	621	142.51	1	54.8387096774194	6.17234e-35	7	378	348	469	124
g35.t1	3198	hypothetical protein CEUSTIGMA_g2970.t1 [Chlamydomonas eustigma]	gi|1238995997|dbj|GAX75527.1|	979	508.064	1	63.9423076923077	9.98572e-160	73	1251	27	440	416
g36.t1	1308	hypothetical protein CEUSTIGMA_g2972.t1 [Chlamydomonas eustigma]	gi|1238995999|dbj|GAX75529.1|	378	358.607	1	77.6315789473684	6.92779e-118	7	669	9	236	228
g37.t1	942	hypothetical protein CEUSTIGMA_g3992.t1 [Chlamydomonas eustigma]	gi|1238994773|dbj|GAX76546.1|	450	182.57	1	41.8867924528302	3.02921e-50	67	801	18	277	265
g38.t1	1980	H+-transporting ATPase [Monoraphidium neglectum] >gi|761969438|gb|KIZ00440.1| H+-transporting ATPase [Monoraphidium neglectum]	gi|926781970|ref|XP_013899459.1|	365	352.058	1	75.2173913043478	2.17365e-112	1246	1932	121	350	230
g39.t1	369	plasma membrane hydrogen ATPase [Chlamydomonas reinhardtii] >gi|1335050325|gb|PNW84931.1| hypothetical protein CHLRE_03g164600v5 [Chlamydomonas reinhardtii]	gi|159490822|ref|XP_001703372.1|	1081	128.257	1	55.6451612903226	8.14173e-32	1	360	330	453	124
g40.t1	1716	hypothetical protein GPECTOR_1g332 [Gonium pectorale]	gi|1004148403|gb|KXZ56375.1|	1031	502.286	1	53.910149750416	1.41524e-163	1	1713	484	1025	601
g41.t1	312	hypothetical protein CEUSTIGMA_g2955.t1 [Chlamydomonas eustigma]	gi|1238995982|dbj|GAX75512.1|	116	67.781	1	38.7096774193548	2.62748e-12	28	306	24	115	93
g42.t1	954	hypothetical protein CEUSTIGMA_g2954.t1 [Chlamydomonas eustigma]	gi|1238995981|dbj|GAX75511.1|	380	406.371	1	67.524115755627	1.56714e-138	1	924	70	379	311
g43.t1	711	hypothetical protein CEUSTIGMA_g2940.t1 [Chlamydomonas eustigma]	gi|1238995967|dbj|GAX75497.1|	259	290.041	1	72.5118483412322	8.49504e-96	7	639	4	210	211
g44.t1	888	hypothetical protein CEUSTIGMA_g2950.t1 [Chlamydomonas eustigma]	gi|1238995977|dbj|GAX75507.1|	297	276.559	1	53.5055350553505	6.2771e-89	22	831	1	268	271
g45.t1	762	hypothetical protein CEUSTIGMA_g2949.t1 [Chlamydomonas eustigma]	gi|1238995976|dbj|GAX75506.1|	604	167.548	1	50.2283105022831	2.30311e-44	1	486	375	593	219
g46.t1	1153	hypothetical protein CEUSTIGMA_g9830.t1 [Chlamydomonas eustigma]	gi|1238988863|dbj|GAX82402.1|	855	283.878	1	47.2222222222222	2.26704e-84	34	1065	10	368	360
g47.t1	582	hypothetical protein CEUSTIGMA_g9829.t1 [Chlamydomonas eustigma]	gi|1238988862|dbj|GAX82401.1|	190	290.812	1	76.1658031088083	8.14586e-98	1	576	1	190	193
g48.t1	2655	hypothetical protein CEUSTIGMA_g262.t1 [Chlamydomonas eustigma]	gi|1238998664|dbj|GAX72807.1|	1126	915.99	1	59.2549476135041	0	43	2583	106	915	859
g49.t1	1140	adenylate cyclase regulatory protein-like protein [Strigomonas culicis]	gi|528209946|gb|EPY16781.1|	705	61.6178	1	49.438202247191	1.91666e-06	250	504	353	440	89
g50.t1	1011	sugar phosphate isomerase/epimerase [Cryobacterium arcticum] >gi|1395050442|gb|PXA70323.1| epimerase [Cryobacterium arcticum]	gi|1397592535|ref|WP_110126353.1|	289	275.404	1	50.6666666666667	4.78219e-88	109	1008	3	282	300
g52.t1	1098	NACHT domain-containing protein [Candidatus Thiosymbion oneisti]	gi|1221594836|ref|WP_089726364.1|	1085	94.7449	1	36.4532019704434	2.40169e-17	247	789	826	1025	203
g53.t1	774	flagellar associated protein [Chlamydomonas reinhardtii] >gi|1335035926|gb|PNW70546.1| hypothetical protein CHLRE_17g724400v5 [Chlamydomonas reinhardtii]	gi|159478280|ref|XP_001697232.1|	286	149.828	1	39.4957983193277	4.067e-40	55	762	37	270	238
g54.t1	1134	hypothetical protein CEUSTIGMA_g9826.t1 [Chlamydomonas eustigma]	gi|1238988859|dbj|GAX82398.1|	453	462.996	1	60.7894736842105	9.11877e-159	43	1116	64	440	380
g57.t1	6618	hypothetical protein CEUSTIGMA_g13374.t1 [Chlamydomonas eustigma]	gi|1238985206|dbj|GAX85958.1|	2359	192.971	1	50.7042253521127	4.44047e-45	2080	2706	670	882	213
g58.t1	2838	hypothetical protein CEUSTIGMA_g8951.t1 [Chlamydomonas eustigma]	gi|1238989814|dbj|GAX81523.1|	389	488.804	1	68.5878962536023	9.84377e-162	1798	2835	46	386	347
g59.t1	1899	hypothetical protein CEUSTIGMA_g8950.t1 [Chlamydomonas eustigma]	gi|1238989813|dbj|GAX81522.1|	406	330.872	1	75.3768844221106	5.14859e-104	673	1266	138	336	199
g60.t1	5115	hypothetical protein CEUSTIGMA_g256.t1 [Chlamydomonas eustigma]	gi|1238998658|dbj|GAX72801.1|	594	916.761	1	75.1252086811352	0	3319	5112	18	594	599
g61.t1	1158	hypothetical protein CEUSTIGMA_g12466.t1 [Chlamydomonas eustigma]	gi|1238986174|dbj|GAX85046.1|	446	495.738	1	72.3837209302326	1.42264e-171	124	1149	110	443	344
g62.t1	1614	hypothetical protein CEUSTIGMA_g12472.t1 [Chlamydomonas eustigma]	gi|1238986180|dbj|GAX85052.1|	339	317.775	1	56.1904761904762	4.30685e-101	604	1542	4	316	315
g63.t1	2592	hypothetical protein CEUSTIGMA_g12473.t1 [Chlamydomonas eustigma]	gi|1238986181|dbj|GAX85053.1|	630	249.21	1	72.0779220779221	2.34832e-68	1	462	46	190	154
g64.t1	813	predicted protein [Chlamydomonas reinhardtii]	gi|159470627|ref|XP_001693458.1|	191	138.272	1	60.2094240837696	1.06368e-36	241	810	5	191	191
g65.t1	3735	hypothetical protein CEUSTIGMA_g12474.t1 [Chlamydomonas eustigma]	gi|1238986182|dbj|GAX85054.1|	1193	707.597	1	61.6987179487179	0	376	2211	115	724	624
g66.t1	2184	hypothetical protein CEUSTIGMA_g6953.t1 [Chlamydomonas eustigma]	gi|1238991783|dbj|GAX79512.1|	1003	891.723	1	75.2025931928687	0	337	2181	388	1003	617
g67.t1	3906	hypothetical protein CEUSTIGMA_g288.t1 [Chlamydomonas eustigma]	gi|1238998690|dbj|GAX72833.1|	879	450.284	1	47.4245115452931	7.94948e-137	2038	3702	357	871	563
g68.t1	720	hypothetical protein CEUSTIGMA_g287.t1 [Chlamydomonas eustigma]	gi|1238998689|dbj|GAX72832.1|	227	335.495	1	70.1357466063348	4.21382e-114	1	663	1	219	221
g69.t1	7881	hypothetical protein CEUSTIGMA_g285.t1 [Chlamydomonas eustigma]	gi|1238998687|dbj|GAX72830.1|	1578	190.66	1	49.1150442477876	2.20866e-44	7177	7851	1355	1574	226
g70.t1	2220	cytochrome P450 [Raphidocelis subcapitata]	gi|1393701871|dbj|GBF94151.1|	626	246.128	1	35.6877323420074	3.84513e-68	73	1596	68	594	538
g71.t1	3441	hypothetical protein CHLRE_01g034200v5 [Chlamydomonas reinhardtii]	gi|1335053945|gb|PNW88549.1|	1821	275.789	1	32.6530612244898	4.26243e-72	115	1839	138	712	588
g72.t1	501	hypothetical protein CEUSTIGMA_g9843.t1 [Chlamydomonas eustigma]	gi|1238988876|dbj|GAX82415.1|	220	103.219	1	40	4.73043e-24	61	498	75	220	150
g73.t1	1899	hypothetical protein CEUSTIGMA_g9841.t1 [Chlamydomonas eustigma]	gi|1238988874|dbj|GAX82413.1|	667	677.937	1	67.5789473684211	0	1	1416	29	491	475
g74.t1	2955	hypothetical protein GPECTOR_2g1144 [Gonium pectorale]	gi|1004147621|gb|KXZ55594.1|	1148	256.529	1	32.4137931034483	3.05213e-67	1288	2892	518	1058	580
g75.t1	558	hypothetical protein CEUSTIGMA_g5888.t1 [Chlamydomonas eustigma]	gi|1238992963|dbj|GAX78448.1|	185	326.25	1	82.1621621621622	5.88337e-112	1	555	1	185	185
g76.t1	1125	hypothetical protein CEUSTIGMA_g282.t1 [Chlamydomonas eustigma]	gi|1238998684|dbj|GAX72827.1|	450	198.364	1	45.4148471615721	1.36587e-55	220	897	57	282	229
g77.t1	1230	hypothetical protein Ctob_016470 [Chrysochromulina sp. CCMP291]	gi|922887324|gb|KOO52957.1|	580	137.887	1	45.8333333333333	6.40119e-32	121	1125	211	537	336
g78.t1	804	hypothetical protein CEUSTIGMA_g9840.t1 [Chlamydomonas eustigma]	gi|1238988873|dbj|GAX82412.1|	313	261.151	1	49.4208494208494	4.89233e-83	4	777	50	302	259
g79.t1	3834	Pol isoform A [Chlorella sorokiniana]	gi|1359809965|gb|PRW45630.1|	424	196.823	1	42.5531914893617	6.63572e-51	877	1989	52	414	376
g80.t1	1401	hypothetical protein CEUSTIGMA_g9839.t1 [Chlamydomonas eustigma]	gi|1238988872|dbj|GAX82411.1|	467	813.142	1	92.5053533190578	0	1	1398	1	467	467
g81.t1	1119	hypothetical protein CEUSTIGMA_g9836.t1 [Chlamydomonas eustigma]	gi|1238988869|dbj|GAX82408.1|	357	512.686	1	68.3760683760684	6.50053e-180	67	1116	4	354	351
g82.t1	993	hypothetical protein CEUSTIGMA_g277.t1 [Chlamydomonas eustigma]	gi|1238998679|dbj|GAX72822.1|	298	243.432	1	45.0184501845018	1.8828e-75	13	810	3	272	271
g83.t1	711	hypothetical protein CHLRE_03g207351v5 [Chlamydomonas reinhardtii]	gi|1335051137|gb|PNW85743.1|	726	204.912	1	53.3678756476684	8.24408e-58	13	573	509	701	193
g84.t1	540	hypothetical protein CEUSTIGMA_g8942.t1 [Chlamydomonas eustigma]	gi|1238989805|dbj|GAX81514.1|	216	82.0333	1	51.5151515151515	7.94247e-16	259	453	135	200	66
g85.t1	495	hypothetical protein CEUSTIGMA_g8943.t1 [Chlamydomonas eustigma]	gi|1238989806|dbj|GAX81515.1|	160	156.377	1	47.8260869565217	1.06505e-45	1	483	1	160	161
g86.t1	684	hypothetical protein CEUSTIGMA_g277.t1 [Chlamydomonas eustigma]	gi|1238998679|dbj|GAX72822.1|	298	142.51	1	45.9119496855346	1.32284e-37	4	465	73	231	159
g87.t1	2679	hypothetical protein CHLRE_14g626466v5 [Chlamydomonas reinhardtii]	gi|1335038669|gb|PNW73286.1|	889	404.06	1	53.2394366197183	3.93765e-123	91	1149	29	374	355
g88.t1	1380	hypothetical protein CEUSTIGMA_g265.t1 [Chlamydomonas eustigma]	gi|1238998667|dbj|GAX72810.1|	374	379.407	1	76.8	9.76412e-126	625	1371	124	373	250
g89.t1	1482	hypothetical protein CEUSTIGMA_g8945.t1 [Chlamydomonas eustigma]	gi|1238989808|dbj|GAX81517.1|	388	428.713	1	66.1631419939577	2.53442e-144	13	1002	7	334	331
g90.t1	1545	hypothetical protein CHLRE_17g717400v5 [Chlamydomonas reinhardtii]	gi|1335035761|gb|PNW70381.1|	571	107.842	1	36.7875647668394	4.52288e-21	511	1077	376	557	193
g92.t1	1833	kinase-like domain-containing protein [Catenaria anguillulae PL171]	gi|1183514336|gb|ORZ37561.1|	172	55.4546	1	40	3.6298e-05	1297	1566	9	94	90
g93.t1	978	hypothetical protein VOLCADRAFT_67902 [Volvox carteri f. nagariensis] >gi|300257432|gb|EFJ41680.1| hypothetical protein VOLCADRAFT_67902 [Volvox carteri f. nagariensis]	gi|302851316|ref|XP_002957182.1|	267	148.288	1	61.2903225806452	6.13082e-39	16	384	2	125	124
g94.t1	540	hypothetical protein CEUSTIGMA_g271.t1 [Chlamydomonas eustigma]	gi|1238998673|dbj|GAX72816.1|	201	310.071	1	89.2655367231638	1.79797e-105	7	537	25	201	177
g95.t1	789	hypothetical protein CEUSTIGMA_g9833.t1 [Chlamydomonas eustigma]	gi|1238988866|dbj|GAX82405.1|	259	412.92	1	84.8249027237354	6.90319e-144	1	771	1	257	257
g96.t1	867	hypothetical protein CEUSTIGMA_g273.t1 [Chlamydomonas eustigma]	gi|1238998675|dbj|GAX72818.1|	293	348.977	1	60.4395604395604	1.19271e-117	34	852	22	293	273
g97.t1	1503	hypothetical protein CEUSTIGMA_g275.t1 [Chlamydomonas eustigma]	gi|1238998677|dbj|GAX72820.1|	531	705.286	1	89.1041162227603	0	1	1239	1	413	413
g98.t1	2397	hypothetical protein CEUSTIGMA_g9834.t1 [Chlamydomonas eustigma]	gi|1238988867|dbj|GAX82406.1|	750	206.453	1	79.5081967213115	1.55081e-52	88	453	22	143	122
g99.t1	1263	hypothetical protein CEUSTIGMA_g12045.t1 [Chlamydomonas eustigma]	gi|1238986622|dbj|GAX84624.1|	610	236.498	1	61.9047619047619	6.74743e-68	589	1260	380	610	231
g101.t1	1284	hypothetical protein CEUSTIGMA_g8939.t1 [Chlamydomonas eustigma]	gi|1238989802|dbj|GAX81511.1|	461	290.041	1	49.0666666666667	4.92673e-90	157	1281	22	342	375
g102.t1	318	hypothetical protein C2E21_9262 [Chlorella sorokiniana]	gi|1359782525|gb|PRW18398.1|	571	93.5893	1	62.7450980392157	5.62478e-20	7	303	383	484	102
g103.t1	849	hypothetical protein GPECTOR_57g518 [Gonium pectorale]	gi|1004137200|gb|KXZ45228.1|	299	235.728	1	50.4032258064516	4.71378e-73	79	807	30	273	248
g105.t1	888	hypothetical protein CEUSTIGMA_g10205.t1 [Chlamydomonas eustigma]	gi|1238988462|dbj|GAX82779.1|	608	226.868	1	39.344262295082	4.20086e-66	22	870	262	563	305
g106.t1	2976	hypothetical protein CEUSTIGMA_g11233.t1 [Chlamydomonas eustigma]	gi|1238987421|dbj|GAX83808.1|	993	257.299	1	51.6891891891892	6.41388e-68	2077	2964	713	990	296
g107.t1	1518	hypothetical protein CEUSTIGMA_g2865.t1 [Chlamydomonas eustigma]	gi|1238995891|dbj|GAX75421.1|	495	89.3521	1	31.6279069767442	3.10837e-15	904	1512	305	494	215
g108.t1	1059	hypothetical protein CEUSTIGMA_g2871.t1 [Chlamydomonas eustigma]	gi|1238995897|dbj|GAX75427.1|	339	326.25	1	51.1299435028249	5.985e-107	1	1044	1	339	354
g109.t1	1395	hypothetical protein CEUSTIGMA_g2872.t1 [Chlamydomonas eustigma]	gi|1238995898|dbj|GAX75428.1|	397	239.195	1	55.3488372093023	1.08154e-70	40	672	82	296	215
g110.t1	1029	hypothetical protein CEUSTIGMA_g2873.t1 [Chlamydomonas eustigma]	gi|1238995899|dbj|GAX75429.1|	346	290.426	1	55.8823529411765	5.83808e-93	223	1020	72	343	272
g111.t1	3381	hypothetical protein CEUSTIGMA_g1923.t1 [Chlamydomonas eustigma]	gi|1238997027|dbj|GAX74474.1|	940	110.538	1	30.7210031347962	9.879e-21	1756	2514	574	884	319
g112.t1	1062	hypothetical protein CEUSTIGMA_g5522.t1 [Chlamydomonas eustigma]	gi|1238993311|dbj|GAX78080.1|	397	402.905	1	59.5307917888563	3.07351e-136	7	1020	60	394	341
g113.t1	2877	hypothetical protein CEUSTIGMA_g1923.t1 [Chlamydomonas eustigma]	gi|1238997027|dbj|GAX74474.1|	940	81.6481	1	28.125	7.77934e-12	1747	2358	637	888	256
g115.t1	1386	hypothetical protein CEUSTIGMA_g5523.t1 [Chlamydomonas eustigma]	gi|1238993312|dbj|GAX78081.1|	502	119.013	1	65.1785714285714	3.47958e-25	1039	1371	377	488	112
g116.t1	843	DNA glycosylase, partial [Coccomyxa subellipsoidea C-169] >gi|384248095|gb|EIE21580.1| DNA glycosylase, partial [Coccomyxa subellipsoidea C-169]	gi|545361668|ref|XP_005646124.1|	257	106.686	1	59.2592592592593	1.03809e-23	1	243	167	247	81
g117.t1	1617	hypothetical protein CEUSTIGMA_g5529.t1 [Chlamydomonas eustigma]	gi|1238993318|dbj|GAX78087.1|	517	530.791	1	67.0984455958549	0	16	1137	14	396	386
g119.t1	726	hypothetical protein CEUSTIGMA_g5527.t1 [Chlamydomonas eustigma]	gi|1238993316|dbj|GAX78085.1|	317	277.715	1	62.8571428571429	5.40085e-90	1	720	71	315	245
g120.t1	1320	hypothetical protein CEUSTIGMA_g5526.t1 [Chlamydomonas eustigma]	gi|1238993315|dbj|GAX78084.1|	445	565.459	1	63.9269406392694	0	1	1302	1	438	438
g121.t1	1356	hypothetical protein CEUSTIGMA_g11270.t1 [Chlamydomonas eustigma]	gi|1238987459|dbj|GAX83846.1|	545	450.669	1	59.2342342342342	2.01516e-151	1	1314	94	535	444
g122.t1	1431	hypothetical protein CEUSTIGMA_g11267.t1 [Chlamydomonas eustigma]	gi|1238987456|dbj|GAX83843.1|	486	563.918	1	61.0278372591007	0	28	1395	12	473	467
g123.t1	1413	hypothetical protein GPECTOR_43g869 [Gonium pectorale]	gi|1004138419|gb|KXZ46433.1|	715	233.802	1	52.1008403361345	1.59806e-65	694	1401	331	568	238
g124.t1	1629	hypothetical protein CEUSTIGMA_g3764.t1 [Chlamydomonas eustigma]	gi|1238995175|dbj|GAX76318.1|	2449	124.79	1	62.1052631578947	5.31943e-26	346	624	3	97	95
g125.t1	867	hypothetical protein CEUSTIGMA_g3764.t1 [Chlamydomonas eustigma]	gi|1238995175|dbj|GAX76318.1|	2449	289.271	1	51.9298245614035	3.40623e-85	1	855	913	1189	285
g126.t1	5970	hypothetical protein CEUSTIGMA_g3764.t1 [Chlamydomonas eustigma]	gi|1238995175|dbj|GAX76318.1|	2449	275.018	1	56.8965517241379	3.57901e-70	5308	5967	2220	2449	232
g127.t1	1104	hypothetical protein GPECTOR_86g369 [Gonium pectorale]	gi|1004135519|gb|KXZ43576.1|	231	146.747	1	56.0344827586207	2.88364e-38	40	387	14	128	116
g128.t1	1725	hypothetical protein CEUSTIGMA_g12717.t1 [Chlamydomonas eustigma]	gi|1238985902|dbj|GAX85300.1|	245	90.5077	1	61.3207547169811	1.11684e-16	1393	1710	137	242	106
g129.t1	651	hypothetical protein CEUSTIGMA_g5765.t1 [Chlamydomonas eustigma]	gi|1238993065|dbj|GAX78323.1|	330	161.77	1	49.4791666666667	6.53721e-45	70	522	1	192	192
g131.t1	4446	Pol [Chlorella sorokiniana]	gi|1359823591|gb|PRW58827.1|	1255	243.047	1	43.4684684684685	2.56135e-61	1531	2838	389	813	444
g132.t1	2421	hypothetical protein CEUSTIGMA_g11261.t1 [Chlamydomonas eustigma]	gi|1238987450|dbj|GAX83837.1|	553	783.097	1	78.2352941176471	0	46	1575	16	525	510
g133.t1	456	hypothetical protein CEUSTIGMA_g11260.t1 [Chlamydomonas eustigma]	gi|1238987449|dbj|GAX83836.1|	149	232.261	1	75.8620689655172	6.5628e-76	10	444	2	146	145
g134.t1	1227	hypothetical protein CEUSTIGMA_g11256.t1 [Chlamydomonas eustigma]	gi|1238987445|dbj|GAX83832.1|	409	608.601	1	78.239608801956	0	1	1224	1	409	409
g136.t1	2187	predicted protein [Chlamydomonas reinhardtii]	gi|159478805|ref|XP_001697491.1|	461	101.293	1	56.8421052631579	7.77128e-19	1855	2139	354	448	95
g137.t1	5517	hypothetical protein CEUSTIGMA_g10941.t1 [Chlamydomonas eustigma]	gi|1238987782|dbj|GAX83516.1|	1761	419.083	1	60.056657223796	3.23568e-116	3874	4857	1355	1707	353
g139.t1	846	uncharacterized protein LOC25480284 [Medicago truncatula]	gi|1379595332|ref|XP_013442730.2|	246	58.5362	1	47.6744186046512	2.7463e-06	511	768	168	245	86
g140.t1	4218	hypothetical protein CEUSTIGMA_g10943.t1 [Chlamydomonas eustigma]	gi|1238987784|dbj|GAX83518.1|	1866	588.571	1	63.4042553191489	3.15072e-178	4	1365	497	955	470
g141.t1	663	hypothetical protein CEUSTIGMA_g11251.t1 [Chlamydomonas eustigma]	gi|1238987440|dbj|GAX83827.1|	258	217.624	1	59.2178770949721	1.4671e-67	67	603	39	211	179
g142.t1	585	predicted protein [Chlamydomonas reinhardtii] >gi|1335052938|gb|PNW87543.1| hypothetical protein CHLRE_02g142150v5 [Chlamydomonas reinhardtii]	gi|159473699|ref|XP_001694971.1|	184	208.379	1	60.7843137254902	2.39864e-65	1	459	1	153	153
g143.t1	531	hypothetical protein CEUSTIGMA_g11255.t1 [Chlamydomonas eustigma]	gi|1238987444|dbj|GAX83831.1|	208	265.003	1	72.7272727272727	1.51715e-87	4	528	34	208	176
g144.t1	2106	hypothetical protein CEUSTIGMA_g12370.t1 [Chlamydomonas eustigma]	gi|1238986286|dbj|GAX84949.1|	713	282.722	1	46	2.81175e-81	388	1587	237	575	400
g145.t1	270	hypothetical protein COCSUDRAFT_53027 [Coccomyxa subellipsoidea C-169] >gi|384251173|gb|EIE24651.1| hypothetical protein COCSUDRAFT_53027 [Coccomyxa subellipsoidea C-169]	gi|545368841|ref|XP_005649195.1|	121	82.4185	1	51.2820512820513	3.24122e-18	10	237	4	81	78
g148.t1	2613	hypothetical protein CEUSTIGMA_g10954.t1 [Chlamydomonas eustigma]	gi|1238987795|dbj|GAX83529.1|	1216	1268.06	1	72.8950403690888	0	1	2577	1	865	867
g149.t1	2424	hypothetical protein CEUSTIGMA_g7172.t1 [Chlamydomonas eustigma]	gi|1238991587|dbj|GAX79731.1|	728	356.681	1	44.8979591836735	7.44238e-108	970	2412	111	550	490
g150.t1	1065	hypothetical protein CEUSTIGMA_g7170.t1 [Chlamydomonas eustigma]	gi|1238991585|dbj|GAX79729.1|	404	489.189	1	68.3890577507599	4.39043e-170	64	1050	73	400	329
g151.t1	1890	hypothetical protein CEUSTIGMA_g7168.t1 [Chlamydomonas eustigma]	gi|1238991583|dbj|GAX79727.1|	681	818.15	1	73.1203007518797	0	298	1887	151	681	532
g152.t1	2211	hypothetical protein CEUSTIGMA_g7167.t1 [Chlamydomonas eustigma]	gi|1238991582|dbj|GAX79726.1|	783	120.553	1	40.7142857142857	2.2411e-24	1702	2115	595	734	140
g153.t1	2124	hypothetical protein CEUSTIGMA_g9206.t1 [Chlamydomonas eustigma]	gi|1238989537|dbj|GAX81778.1|	703	1222.99	1	88.967468175389	0	1	2121	1	703	707
g154.t1	933	hypothetical protein CEUSTIGMA_g9209.t1 [Chlamydomonas eustigma]	gi|1238989540|dbj|GAX81781.1|	306	60.4622	1	43.9024390243902	1.25018e-06	679	921	220	301	82
g155.t1	2250	hypothetical protein CEUSTIGMA_g6403.t1 [Chlamydomonas eustigma]	gi|1238992402|dbj|GAX78963.1|	801	130.568	1	25.5060728744939	1.74088e-27	484	1950	168	548	494
g156.t1	1149	predicted protein [Chlamydomonas reinhardtii] >gi|1335050751|gb|PNW85357.1| hypothetical protein CHLRE_03g182600v5 [Chlamydomonas reinhardtii]	gi|159489948|ref|XP_001702953.1|	311	336.265	1	50.2941176470588	7.68891e-111	118	1131	2	307	340
g157.t1	2592	hypothetical protein CEUSTIGMA_g9657.t1 [Chlamydomonas eustigma]	gi|1238989057|dbj|GAX82229.1|	593	138.272	1	54.9668874172185	3.20483e-30	1270	1722	171	306	151
